Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,11280746,0,"Saturday, April  6, 2013 18:19:31 UTC",33.8032,-116.0918,1.3,3.20,48,"Southern California"
ci,11280738,0,"Saturday, April  6, 2013 18:18:59 UTC",33.8005,-116.0945,1.2,2.30,46,"Southern California"
ak,10690146,2,"Saturday, April  6, 2013 18:11:16 UTC",53.1530,-164.6848,2.1,11.20,12,"Unimak Island region, Alaska"
ak,10689047,2,"Saturday, April  6, 2013 17:53:32 UTC",60.4823,-151.8264,1.9,77.10,28,"Kenai Peninsula, Alaska"
ak,10688979,2,"Saturday, April  6, 2013 17:50:38 UTC",62.9688,-148.6245,1.6,9.80,33,"Central Alaska"
ak,10688961,2,"Saturday, April  6, 2013 17:44:16 UTC",63.3244,-148.9137,1.4,88.60,41,"Central Alaska"
ak,10688959,2,"Saturday, April  6, 2013 17:33:46 UTC",53.1373,-161.9864,3.0,25.70,25,"south of Alaska"
ak,10688889,2,"Saturday, April  6, 2013 17:29:16 UTC",61.1111,-147.2657,1.2,20.00,18,"Southern Alaska"
ci,11280722,0,"Saturday, April  6, 2013 17:28:52 UTC",34.2463,-117.7795,1.9,11.40,82,"Southern California"
ak,10690140,2,"Saturday, April  6, 2013 17:23:42 UTC",62.2187,-152.3197,1.4,115.70,17,"Central Alaska"
ci,11280706,0,"Saturday, April  6, 2013 17:18:52 UTC",33.8023,-116.0928,1.3,2.10,51,"Southern California"
ak,10688877,2,"Saturday, April  6, 2013 17:15:58 UTC",63.2479,-150.3811,1.3,115.70,26,"Central Alaska"
ak,10688875,2,"Saturday, April  6, 2013 17:14:52 UTC",55.3072,-159.6728,2.5,54.60,20,"Alaska Peninsula"
ci,11280690,0,"Saturday, April  6, 2013 17:06:37 UTC",33.8815,-116.8398,1.1,15.40,53,"Southern California"
uw,60515347,2,"Saturday, April  6, 2013 16:50:30 UTC",45.6417,-122.7688,1.1,19.20,21,"Portland urban area, Oregon"
